epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
110,7548.77,0.76017,0.49448,1.04478,0.87886,0.82221,0.87582,0.62476,1.20077,0.71631,1.46547,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,7619.2,0.75199,0.48785,1.04475,0.87546,0.82806,0.87786,0.62814,1.19538,0.71212,1.46668,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,7689.82,0.7478,0.48744,1.04142,0.88317,0.81488,0.87754,0.62886,1.19389,0.71983,1.46912,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,7761.37,0.73657,0.48371,1.0401,0.87394,0.8274,0.87992,0.62967,1.18823,0.71857,1.46862,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,7832.53,0.74024,0.48066,1.0391,0.88169,0.82091,0.88015,0.63102,1.18327,0.7178,1.46324,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,7903.41,0.73571,0.47665,1.03531,0.87928,0.82003,0.88022,0.63057,1.19023,0.72556,1.47123,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,7972.86,0.73458,0.47779,1.03768,0.87372,0.82803,0.88009,0.63075,1.1921,0.71773,1.47348,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,8042.72,0.72932,0.4672,1.0318,0.86756,0.83072,0.8797,0.63208,1.18954,0.70761,1.47282,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,8111.95,0.73235,0.46826,1.03163,0.87352,0.82877,0.87943,0.63283,1.18496,0.708,1.46882,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,8179.41,0.72295,0.46859,1.0332,0.88145,0.81909,0.87967,0.63404,1.18043,0.70793,1.46627,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,8249.24,0.72333,0.46601,1.02812,0.8825,0.82062,0.87963,0.63502,1.17764,0.71365,1.46417,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,8316.04,0.72083,0.46113,1.02544,0.87752,0.82573,0.87915,0.63558,1.18227,0.71273,1.46993,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,8383.23,0.71802,0.4612,1.02762,0.89661,0.817,0.88123,0.63613,1.18146,0.71217,1.47236,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,8450.38,0.71227,0.45726,1.02356,0.88447,0.82556,0.87933,0.63676,1.17254,0.71617,1.46628,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,8518.28,0.70662,0.45714,1.02248,0.88318,0.8261,0.88109,0.64042,1.16845,0.71368,1.46478,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,8585.31,0.69968,0.45416,1.01762,0.88486,0.82392,0.88064,0.6414,1.16663,0.70852,1.46629,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,8654.55,0.70263,0.4541,1.01817,0.87948,0.82865,0.88248,0.64269,1.16647,0.7085,1.46455,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,8721.43,0.69206,0.45284,1.01432,0.87885,0.83014,0.88129,0.64232,1.16498,0.70525,1.46592,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,8787.88,0.69737,0.44865,1.01607,0.87952,0.82647,0.88169,0.64265,1.16392,0.70994,1.46859,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,8854.33,0.69241,0.44183,1.01398,0.87888,0.82632,0.88,0.64194,1.16593,0.70944,1.47466,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,8922.27,0.69332,0.44571,1.01383,0.88105,0.82548,0.88078,0.64336,1.16135,0.70536,1.47363,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,8989.99,0.6898,0.44444,1.01084,0.88237,0.82448,0.8813,0.64376,1.16078,0.70426,1.47106,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
132,9057.65,0.68009,0.43304,1.00532,0.8808,0.82553,0.88017,0.64417,1.16319,0.70742,1.47334,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155
